engagement_id,client_name,client_industry,engagement_type,practice_area,region,start_date,end_date,duration_weeks,team_size,contracted_hours,actual_hours,scope_overrun_pct,avg_billing_rate_gbp,contracted_revenue_gbp,direct_cost_gbp,overhead_cost_gbp,total_cost_gbp,actual_cost_gbp,contracted_margin_gbp,contracted_margin_pct,actual_margin_gbp,actual_margin_pct,client_satisfaction_score,is_repeat_client
ENG-0001,Ember Capital,Public Sector,Market Entry,Financial Advisory,Bristol,2023-12-04,2024-01-29,8,5,145.0,145.0,0.0,270.0,39201.0,22080.0,3245.0,25325.0,25325.0,13876.0,35.4,13876.0,35.4,8.0,1
ENG-0002,Astra International,Energy & Utilities,Market Entry,Technology & Digital,London,2023-12-24,2024-02-18,8,10,323.0,323.0,0.0,257.0,83107.0,42954.0,4866.0,47820.0,47820.0,35286.0,42.5,35286.0,42.5,7.7,0
ENG-0003,Crest PLC,Financial Services,Data Strategy,Financial Advisory,London,2023-05-01,2023-08-21,16,3,140.0,144.0,2.5,287.0,40280.0,21010.0,3052.0,24062.0,24491.0,16218.0,40.3,15789.0,39.2,7.7,1
ENG-0004,Sentinel PLC,Public Sector,Process Optimisation,Strategy & Growth,London,2024-06-28,2025-02-07,32,3,344.0,429.0,24.6,277.0,95459.0,49748.0,4989.0,54738.0,64155.0,40721.0,42.7,31304.0,32.8,6.1,0
ENG-0005,Falcon Solutions,Financial Services,Cost Reduction,Strategy & Growth,Bristol,2024-06-17,2024-07-15,4,8,111.0,121.0,9.5,271.0,29908.0,16392.0,2399.0,18791.0,20044.0,11117.0,37.2,9864.0,33.0,8.4,1
ENG-0006,Pinnacle Ltd,Technology,Cost Reduction,People & Organisation,London,2024-02-20,2024-04-02,6,8,132.0,157.0,18.8,264.0,34975.0,17033.0,1866.0,18899.0,21379.0,16076.0,46.0,13596.0,38.9,7.7,0
ENG-0007,Ember Corp,Manufacturing,Cost Reduction,People & Organisation,London,2024-06-23,2024-09-01,10,3,99.0,99.0,0.0,245.0,24315.0,12827.0,1218.0,14044.0,14044.0,10270.0,42.2,10270.0,42.2,10.0,0
ENG-0008,Sentinel Solutions,Financial Services,Customer Experience,Operations & Supply Chain,Edinburgh,2023-01-03,2023-08-15,32,4,526.0,583.0,10.8,232.0,121932.0,65631.0,9356.0,74986.0,80648.0,46946.0,38.5,41284.0,33.9,7.0,0
ENG-0009,Meridian Partners,Energy & Utilities,Strategic Review,Technology & Digital,Manchester,2023-01-01,2023-02-26,8,5,159.0,172.0,7.9,232.0,36872.0,17822.0,1986.0,19808.0,20902.0,17064.0,46.3,15970.0,43.3,8.8,0
ENG-0010,Ironbridge Solutions,Energy & Utilities,Cost Reduction,People & Organisation,Birmingham,2024-06-03,2024-08-12,10,3,103.0,130.0,26.5,233.0,24038.0,12337.0,1817.0,14154.0,16780.0,9884.0,41.1,7258.0,30.2,6.8,0
