consultant_id,practice_area,level,month,available_hours,billable_hours,non_billable_hours,bench_hours,utilisation_pct,utilisation_target_pct
MP-0001,Strategy & Growth,Partner,2023-01-01,168,63.0,36.0,69.0,37.7,45.0
MP-0001,Strategy & Growth,Partner,2023-02-01,168,91.0,22.0,55.0,54.3,45.0
MP-0001,Strategy & Growth,Partner,2023-03-01,168,72.0,41.0,55.0,42.9,45.0
MP-0001,Strategy & Growth,Partner,2023-04-01,168,69.0,20.0,79.0,41.3,45.0
MP-0001,Strategy & Growth,Partner,2023-05-01,168,82.0,26.0,60.0,49.1,45.0
MP-0001,Strategy & Growth,Partner,2023-06-01,168,71.0,33.0,64.0,42.0,45.0
MP-0001,Strategy & Growth,Partner,2023-07-01,168,92.0,42.0,34.0,54.9,45.0
MP-0001,Strategy & Growth,Partner,2023-08-01,168,63.0,38.0,67.0,37.7,45.0
MP-0001,Strategy & Growth,Partner,2023-09-01,168,87.0,37.0,44.0,51.7,45.0
MP-0001,Strategy & Growth,Partner,2023-10-01,168,74.0,29.0,65.0,44.1,45.0
MP-0001,Strategy & Growth,Partner,2023-11-01,168,70.0,19.0,79.0,41.5,45.0
MP-0001,Strategy & Growth,Partner,2023-12-01,168,78.0,24.0,66.0,46.5,45.0
MP-0001,Strategy & Growth,Partner,2024-01-01,168,90.0,22.0,56.0,53.4,45.0
MP-0001,Strategy & Growth,Partner,2024-02-01,168,75.0,17.0,76.0,44.4,45.0
MP-0001,Strategy & Growth,Partner,2024-03-01,168,88.0,42.0,38.0,52.1,45.0
MP-0001,Strategy & Growth,Partner,2024-04-01,168,89.0,30.0,49.0,52.8,45.0
MP-0001,Strategy & Growth,Partner,2024-05-01,168,79.0,19.0,70.0,46.8,45.0
MP-0001,Strategy & Growth,Partner,2024-06-01,168,68.0,39.0,61.0,40.7,45.0
MP-0001,Strategy & Growth,Partner,2024-07-01,168,82.0,18.0,68.0,49.0,45.0
MP-0001,Strategy & Growth,Partner,2024-08-01,168,48.0,38.0,82.0,28.6,45.0
MP-0001,Strategy & Growth,Partner,2024-09-01,168,66.0,29.0,73.0,39.4,45.0
MP-0001,Strategy & Growth,Partner,2024-10-01,168,72.0,41.0,55.0,42.8,45.0
MP-0001,Strategy & Growth,Partner,2024-11-01,168,73.0,22.0,73.0,43.2,45.0
MP-0001,Strategy & Growth,Partner,2024-12-01,168,60.0,39.0,69.0,35.8,45.0
MP-0002,Strategy & Growth,Partner,2023-01-01,168,61.0,26.0,81.0,36.4,45.0
MP-0002,Strategy & Growth,Partner,2023-02-01,168,88.0,25.0,55.0,52.4,45.0
MP-0002,Strategy & Growth,Partner,2023-03-01,168,88.0,39.0,41.0,52.4,45.0
MP-0002,Strategy & Growth,Partner,2023-04-01,168,79.0,27.0,62.0,47.3,45.0
MP-0002,Strategy & Growth,Partner,2023-05-01,168,81.0,23.0,64.0,48.3,45.0
MP-0002,Strategy & Growth,Partner,2023-06-01,168,81.0,31.0,56.0,48.3,45.0
MP-0002,Strategy & Growth,Partner,2023-07-01,168,89.0,38.0,41.0,53.0,45.0
MP-0002,Strategy & Growth,Partner,2023-08-01,168,67.0,39.0,62.0,39.8,45.0
MP-0002,Strategy & Growth,Partner,2023-09-01,168,72.0,38.0,58.0,42.8,45.0
MP-0002,Strategy & Growth,Partner,2023-10-01,168,69.0,21.0,78.0,41.1,45.0
MP-0002,Strategy & Growth,Partner,2023-11-01,168,75.0,17.0,76.0,44.5,45.0
MP-0002,Strategy & Growth,Partner,2023-12-01,168,42.0,21.0,105.0,25.0,45.0
MP-0002,Strategy & Growth,Partner,2024-01-01,168,66.0,37.0,65.0,39.5,45.0
MP-0002,Strategy & Growth,Partner,2024-02-01,168,86.0,22.0,60.0,51.2,45.0
MP-0002,Strategy & Growth,Partner,2024-03-01,168,58.0,21.0,89.0,34.4,45.0
MP-0002,Strategy & Growth,Partner,2024-04-01,168,73.0,41.0,54.0,43.5,45.0
MP-0002,Strategy & Growth,Partner,2024-05-01,168,82.0,18.0,68.0,49.0,45.0
MP-0002,Strategy & Growth,Partner,2024-06-01,168,90.0,20.0,58.0,53.6,45.0
MP-0002,Strategy & Growth,Partner,2024-07-01,168,83.0,19.0,66.0,49.6,45.0
MP-0002,Strategy & Growth,Partner,2024-08-01,168,53.0,31.0,84.0,31.8,45.0
MP-0002,Strategy & Growth,Partner,2024-09-01,168,103.0,21.0,44.0,61.1,45.0
MP-0002,Strategy & Growth,Partner,2024-10-01,168,101.0,33.0,34.0,60.1,45.0
MP-0002,Strategy & Growth,Partner,2024-11-01,168,68.0,31.0,69.0,40.5,45.0
MP-0002,Strategy & Growth,Partner,2024-12-01,168,52.0,28.0,88.0,31.2,45.0
MP-0003,Strategy & Growth,Partner,2023-01-01,168,79.0,36.0,53.0,46.9,45.0
MP-0003,Strategy & Growth,Partner,2023-02-01,168,98.0,31.0,39.0,58.1,45.0
MP-0003,Strategy & Growth,Partner,2023-03-01,168,85.0,20.0,63.0,50.8,45.0
MP-0003,Strategy & Growth,Partner,2023-04-01,168,65.0,30.0,73.0,38.5,45.0
MP-0003,Strategy & Growth,Partner,2023-05-01,168,84.0,33.0,51.0,49.9,45.0
MP-0003,Strategy & Growth,Partner,2023-06-01,168,70.0,34.0,64.0,41.7,45.0
MP-0003,Strategy & Growth,Partner,2023-07-01,168,67.0,28.0,73.0,39.6,45.0
MP-0003,Strategy & Growth,Partner,2023-08-01,168,59.0,33.0,76.0,35.1,45.0
MP-0003,Strategy & Growth,Partner,2023-09-01,168,84.0,36.0,48.0,50.0,45.0
MP-0003,Strategy & Growth,Partner,2023-10-01,168,75.0,41.0,52.0,44.4,45.0
MP-0003,Strategy & Growth,Partner,2023-11-01,168,55.0,28.0,85.0,32.7,45.0
MP-0003,Strategy & Growth,Partner,2023-12-01,168,46.0,29.0,93.0,27.3,45.0
MP-0003,Strategy & Growth,Partner,2024-01-01,168,108.0,40.0,20.0,64.2,45.0
MP-0003,Strategy & Growth,Partner,2024-02-01,168,45.0,25.0,98.0,27.0,45.0
MP-0003,Strategy & Growth,Partner,2024-03-01,168,43.0,30.0,95.0,25.4,45.0
MP-0003,Strategy & Growth,Partner,2024-04-01,168,81.0,18.0,69.0,48.2,45.0
MP-0003,Strategy & Growth,Partner,2024-05-01,168,67.0,38.0,63.0,40.0,45.0
MP-0003,Strategy & Growth,Partner,2024-06-01,168,85.0,17.0,66.0,50.4,45.0
MP-0003,Strategy & Growth,Partner,2024-07-01,168,57.0,22.0,89.0,34.2,45.0
MP-0003,Strategy & Growth,Partner,2024-08-01,168,72.0,36.0,60.0,42.6,45.0
MP-0003,Strategy & Growth,Partner,2024-09-01,168,56.0,24.0,88.0,33.5,45.0
MP-0003,Strategy & Growth,Partner,2024-10-01,168,81.0,17.0,70.0,48.2,45.0
MP-0003,Strategy & Growth,Partner,2024-11-01,168,67.0,42.0,59.0,39.7,45.0
MP-0003,Strategy & Growth,Partner,2024-12-01,168,72.0,26.0,70.0,42.9,45.0
MP-0004,Strategy & Growth,Partner,2023-01-01,168,81.0,42.0,45.0,47.9,45.0
MP-0004,Strategy & Growth,Partner,2023-02-01,168,80.0,28.0,60.0,47.9,45.0
MP-0004,Strategy & Growth,Partner,2023-03-01,168,70.0,27.0,71.0,41.8,45.0
MP-0004,Strategy & Growth,Partner,2023-04-01,168,73.0,33.0,62.0,43.5,45.0
MP-0004,Strategy & Growth,Partner,2023-05-01,168,70.0,23.0,75.0,41.5,45.0
MP-0004,Strategy & Growth,Partner,2023-06-01,168,51.0,41.0,76.0,30.6,45.0
MP-0004,Strategy & Growth,Partner,2023-07-01,168,94.0,37.0,37.0,55.7,45.0
MP-0004,Strategy & Growth,Partner,2023-08-01,168,56.0,31.0,81.0,33.2,45.0
MP-0004,Strategy & Growth,Partner,2023-09-01,168,85.0,36.0,47.0,50.5,45.0
MP-0004,Strategy & Growth,Partner,2023-10-01,168,89.0,18.0,61.0,52.9,45.0
MP-0004,Strategy & Growth,Partner,2023-11-01,168,66.0,27.0,75.0,39.4,45.0
MP-0004,Strategy & Growth,Partner,2023-12-01,168,42.0,23.0,103.0,24.9,45.0
MP-0004,Strategy & Growth,Partner,2024-01-01,168,69.0,29.0,70.0,40.8,45.0
MP-0004,Strategy & Growth,Partner,2024-02-01,168,57.0,38.0,73.0,33.9,45.0
MP-0004,Strategy & Growth,Partner,2024-03-01,168,90.0,37.0,41.0,53.4,45.0
MP-0004,Strategy & Growth,Partner,2024-04-01,168,76.0,24.0,68.0,45.3,45.0
MP-0004,Strategy & Growth,Partner,2024-05-01,168,76.0,23.0,69.0,45.0,45.0
MP-0004,Strategy & Growth,Partner,2024-06-01,168,75.0,32.0,61.0,44.4,45.0
MP-0004,Strategy & Growth,Partner,2024-07-01,168,74.0,35.0,59.0,44.1,45.0
MP-0004,Strategy & Growth,Partner,2024-08-01,168,65.0,32.0,71.0,38.4,45.0
MP-0004,Strategy & Growth,Partner,2024-09-01,168,104.0,32.0,32.0,62.0,45.0
MP-0004,Strategy & Growth,Partner,2024-10-01,168,67.0,40.0,61.0,39.9,45.0
MP-0004,Strategy & Growth,Partner,2024-11-01,168,81.0,41.0,46.0,48.0,45.0
MP-0004,Strategy & Growth,Partner,2024-12-01,168,90.0,36.0,42.0,53.4,45.0
MP-0005,Strategy & Growth,Director,2023-01-01,168,99.0,25.0,44.0,59.2,55.0
MP-0005,Strategy & Growth,Director,2023-02-01,168,94.0,17.0,57.0,55.8,55.0
MP-0005,Strategy & Growth,Director,2023-03-01,168,94.0,29.0,45.0,55.8,55.0
MP-0005,Strategy & Growth,Director,2023-04-01,168,89.0,36.0,43.0,53.1,55.0
MP-0005,Strategy & Growth,Director,2023-05-01,168,68.0,22.0,78.0,40.6,55.0
MP-0005,Strategy & Growth,Director,2023-06-01,168,80.0,19.0,69.0,47.4,55.0
MP-0005,Strategy & Growth,Director,2023-07-01,168,94.0,19.0,55.0,56.0,55.0
MP-0005,Strategy & Growth,Director,2023-08-01,168,88.0,38.0,42.0,52.1,55.0
MP-0005,Strategy & Growth,Director,2023-09-01,168,95.0,27.0,46.0,56.4,55.0
MP-0005,Strategy & Growth,Director,2023-10-01,168,117.0,25.0,26.0,69.4,55.0
MP-0005,Strategy & Growth,Director,2023-11-01,168,91.0,31.0,46.0,54.0,55.0
MP-0005,Strategy & Growth,Director,2023-12-01,168,91.0,37.0,40.0,54.0,55.0
MP-0005,Strategy & Growth,Director,2024-01-01,168,113.0,36.0,19.0,67.3,55.0
MP-0005,Strategy & Growth,Director,2024-02-01,168,109.0,17.0,42.0,65.0,55.0
MP-0005,Strategy & Growth,Director,2024-03-01,168,112.0,41.0,15.0,66.4,55.0
MP-0005,Strategy & Growth,Director,2024-04-01,168,114.0,32.0,22.0,67.7,55.0
MP-0005,Strategy & Growth,Director,2024-05-01,168,97.0,22.0,49.0,57.6,55.0
MP-0005,Strategy & Growth,Director,2024-06-01,168,92.0,28.0,48.0,54.6,55.0
MP-0005,Strategy & Growth,Director,2024-07-01,168,97.0,38.0,33.0,57.9,55.0
MP-0005,Strategy & Growth,Director,2024-08-01,168,60.0,33.0,75.0,35.9,55.0
MP-0005,Strategy & Growth,Director,2024-09-01,168,106.0,37.0,25.0,62.8,55.0
MP-0005,Strategy & Growth,Director,2024-10-01,168,84.0,21.0,63.0,50.0,55.0
MP-0005,Strategy & Growth,Director,2024-11-01,168,105.0,37.0,26.0,62.4,55.0
MP-0005,Strategy & Growth,Director,2024-12-01,168,84.0,37.0,47.0,50.1,55.0
MP-0006,Strategy & Growth,Director,2023-01-01,168,92.0,25.0,51.0,55.0,55.0
MP-0006,Strategy & Growth,Director,2023-02-01,168,102.0,19.0,47.0,60.7,55.0
MP-0006,Strategy & Growth,Director,2023-03-01,168,92.0,28.0,48.0,54.6,55.0
MP-0006,Strategy & Growth,Director,2023-04-01,168,85.0,21.0,62.0,50.8,55.0
MP-0006,Strategy & Growth,Director,2023-05-01,168,105.0,20.0,43.0,62.8,55.0
MP-0006,Strategy & Growth,Director,2023-06-01,168,119.0,40.0,9.0,71.0,55.0
MP-0006,Strategy & Growth,Director,2023-07-01,168,78.0,32.0,58.0,46.5,55.0
MP-0006,Strategy & Growth,Director,2023-08-01,168,57.0,39.0,72.0,33.6,55.0
MP-0006,Strategy & Growth,Director,2023-09-01,168,120.0,37.0,11.0,71.3,55.0
MP-0006,Strategy & Growth,Director,2023-10-01,168,99.0,18.0,51.0,59.1,55.0
MP-0006,Strategy & Growth,Director,2023-11-01,168,74.0,34.0,60.0,44.2,55.0
MP-0006,Strategy & Growth,Director,2023-12-01,168,84.0,31.0,53.0,49.8,55.0
MP-0006,Strategy & Growth,Director,2024-01-01,168,97.0,42.0,29.0,57.7,55.0
MP-0006,Strategy & Growth,Director,2024-02-01,168,81.0,38.0,49.0,48.4,55.0
MP-0006,Strategy & Growth,Director,2024-03-01,168,91.0,40.0,37.0,54.2,55.0
MP-0006,Strategy & Growth,Director,2024-04-01,168,104.0,20.0,44.0,61.6,55.0
MP-0006,Strategy & Growth,Director,2024-05-01,168,62.0,17.0,89.0,36.7,55.0
MP-0006,Strategy & Growth,Director,2024-06-01,168,106.0,24.0,38.0,63.4,55.0
MP-0006,Strategy & Growth,Director,2024-07-01,168,90.0,40.0,38.0,53.7,55.0
MP-0006,Strategy & Growth,Director,2024-08-01,168,94.0,30.0,44.0,56.1,55.0
MP-0006,Strategy & Growth,Director,2024-09-01,168,80.0,42.0,46.0,47.6,55.0
MP-0006,Strategy & Growth,Director,2024-10-01,168,91.0,20.0,57.0,54.1,55.0
MP-0006,Strategy & Growth,Director,2024-11-01,168,86.0,34.0,48.0,51.3,55.0
MP-0006,Strategy & Growth,Director,2024-12-01,168,83.0,41.0,44.0,49.5,55.0
MP-0007,Strategy & Growth,Director,2023-01-01,168,80.0,33.0,55.0,47.6,55.0
MP-0007,Strategy & Growth,Director,2023-02-01,168,106.0,26.0,36.0,63.2,55.0
MP-0007,Strategy & Growth,Director,2023-03-01,168,111.0,31.0,26.0,66.0,55.0
MP-0007,Strategy & Growth,Director,2023-04-01,168,96.0,40.0,32.0,57.2,55.0
MP-0007,Strategy & Growth,Director,2023-05-01,168,102.0,41.0,25.0,60.5,55.0
MP-0007,Strategy & Growth,Director,2023-06-01,168,76.0,30.0,62.0,45.5,55.0
MP-0007,Strategy & Growth,Director,2023-07-01,168,102.0,22.0,44.0,61.0,55.0
MP-0007,Strategy & Growth,Director,2023-08-01,168,87.0,24.0,57.0,51.6,55.0
MP-0007,Strategy & Growth,Director,2023-09-01,168,97.0,39.0,32.0,57.9,55.0
MP-0007,Strategy & Growth,Director,2023-10-01,168,94.0,40.0,34.0,56.1,55.0
MP-0007,Strategy & Growth,Director,2023-11-01,168,80.0,38.0,50.0,47.5,55.0
MP-0007,Strategy & Growth,Director,2023-12-01,168,87.0,22.0,59.0,51.7,55.0
MP-0007,Strategy & Growth,Director,2024-01-01,168,108.0,38.0,22.0,64.2,55.0
MP-0007,Strategy & Growth,Director,2024-02-01,168,102.0,40.0,26.0,60.6,55.0
MP-0007,Strategy & Growth,Director,2024-03-01,168,69.0,19.0,80.0,41.4,55.0
MP-0007,Strategy & Growth,Director,2024-04-01,168,95.0,22.0,51.0,56.3,55.0
MP-0007,Strategy & Growth,Director,2024-05-01,168,82.0,38.0,48.0,48.8,55.0
MP-0007,Strategy & Growth,Director,2024-06-01,168,94.0,40.0,34.0,56.1,55.0
MP-0007,Strategy & Growth,Director,2024-07-01,168,91.0,18.0,59.0,54.1,55.0
MP-0007,Strategy & Growth,Director,2024-08-01,168,56.0,23.0,89.0,33.4,55.0
MP-0007,Strategy & Growth,Director,2024-09-01,168,100.0,24.0,44.0,59.5,55.0
MP-0007,Strategy & Growth,Director,2024-10-01,168,107.0,41.0,20.0,63.6,55.0
MP-0007,Strategy & Growth,Director,2024-11-01,168,90.0,23.0,55.0,53.7,55.0
MP-0007,Strategy & Growth,Director,2024-12-01,168,80.0,24.0,64.0,47.7,55.0
MP-0008,Strategy & Growth,Director,2023-01-01,168,96.0,18.0,54.0,57.1,55.0
MP-0008,Strategy & Growth,Director,2023-02-01,168,64.0,21.0,83.0,38.0,55.0
MP-0008,Strategy & Growth,Director,2023-03-01,168,107.0,30.0,31.0,63.5,55.0
MP-0008,Strategy & Growth,Director,2023-04-01,168,83.0,20.0,65.0,49.5,55.0
MP-0008,Strategy & Growth,Director,2023-05-01,168,67.0,20.0,81.0,39.6,55.0
